Country Name,Country Code,Indicator Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
濉炴郸璺柉,CYP,NY.GDP.PCAP.CD,14388.35254,14821.44922,16093.21582,20252.24609,23792.61914,24959.26172,26729.28125,31244.87891,35397.29688,32236.44922,31105.02734,32485.79688,28991.93555,27797.45703,27244.35156,23487.22852,24715.1543,26696.99023,29599.98633,29703.05273,28649.01563,33734.29297,33938.94531,36551.41797
鎹峰厠鍏卞拰鍥?CZE,NY.GDP.PCAP.CD,,6669.074948,8101.260186,9852.456779,11782.55467,13442.49163,15259.07882,18452.65328,22774.70451,19817.42158,20160.43551,22049.10808,20014.0354,20260.4955,20038.41632,17931.59877,18753.96867,20913.19763,23705.93298,24062.719,23472.89155,27696.46195,28282.22367,31591.17707,
寰峰浗,DEU,NY.GDP.PCAP.CD,23925.85599,23878.36415,25486.5942,30711.10225,34566.73591,35084.43635,36980.33499,42350.92172,46386.32959,42487.21371,42409.9357,47646.58204,44735.58823,47220.01021,48971.08247,41911.01099,42961.03569,45526.59996,48874.8595,47623.86561,47379.76519,52265.65416,49686.11546,54343.22651
鍚夊竷鎻?DJI,NY.GDP.PCAP.CD,,742.1337911,743.0132704,764.6344652,806.2616529,844.4483574,898.4646281,969.5732202,1119.152333,1150.937586,1213.233526,1306.345528,1400.193579,2074.296689,2208.678103,2376.125547,2510.430008,2618.955211,2718.085323,2837.171033,2881.999245,3019.693439,3231.300153,3554.839189,
澶氱背灏煎厠,DMA,NY.GDP.PCAP.CD,4867.398963,4981.895849,4873.6422,5009.573932,5348.949001,5299.495964,5671.770657,6120.442054,6654.499214,7102.02826,7171.552389,7255.672106,7031.399871,7147.619541,7395.302597,7679.832936,8278.447686,7614.34028,8137.565206,9009.090115,7461.779332,8262.650913,9085.674128,9832.996431
涓归害,DNK,NY.GDP.PCAP.CD,30722.02518,30768.47755,33257.16226,40519.09749,46625.0501,48925.80767,52119.1788,58631.65664,64616.66576,58412.74724,58104.54456,61809.7379,58443.77471,61377.59406,62520.45097,53094.01336,54500.92604,57521.5515,61324.7665,59404.26632,60985.48856,69727.98737,68091.31911,68453.87693
澶氱背灏煎姞鍏卞拰鍥?DOM,NY.GDP.PCAP.CD,205.7315099,2935.893673,3065.603295,2383.261718,2451.691616,3878.312067,4055.142703,4649.645589,5026.840911,4977.798844,5484.646379,5834.705907,6025.725827,6149.027489,6512.507714,6819.932252,7174.823496,7499.692862,7934.981412,8164.220809,7162.291752,8472.47982,10109.5234,10717.62767,
闃垮皵鍙婂埄浜?DZA,NY.GDP.PCAP.CD,238.3924767,1896.300209,1937.464114,2283.772993,2816.99385,3233.133396,3660.661047,4167.451699,5180.918815,4235.429905,4912.785855,5916.313644,6033.648847,5979.60139,6094.693923,4685.059027,4424.98529,4554.66754,4577.210292,4468.453419,3743.541952,4160.559267,4961.552577,5364.02795,
涓滀簹涓庡お骞虫磱鍦板尯锛堜笉鍖呮嫭楂樻敹鍏ワ級,EAP,NY.GDP.PCAP.CD,954.4651712,1006.001553,1103.590673,1238.620986,1424.599711,1637.024099,1956.033454,2453.504419,3080.236227,3314.60145,4004.410055,4853.385352,5364.230699,5867.354666,6276.042179,6482.993156,6575.525088,7133.000059,7925.424765,8153.621406,8245.715216,9795.319389,9901.264099,9900.613565
鏃╀汉鍙ｇ磪鍒?EAR,NY.GDP.PCAP.CD,156.2669556,1310.876994,1251.00893,1368.161337,1562.5943,1787.409549,2010.14276,2341.1199,2592.625295,2455.417372,2936.705309,3259.608089,3356.981832,3357.744756,3424.550259,3211.780127,3262.320018,3496.771648,3503.213201,3527.543272,3240.951502,3732.868491,4076.367491,4256.784144,
涓滀簹涓庡お骞虫磱鍦板尯,EAS,NY.GDP.PCAP.CD,4086.518124,3765.764966,3793.345415,4138.943938,4606.368383,4878.311076,5131.872991,5691.537335,6514.168316,6654.358927,7712.665045,8875.655491,9416.215899,9446.409165,9672.058568,9562.106164,9832.130363,10428.63218,11285.89723,11458.79584,11464.10129,13117.39899,12889.9062,12908.63771
娆ф床涓庝腑浜氬湴鍖猴紙涓嶅寘鎷珮鏀跺叆锛?ECA,NY.GDP.PCAP.CD,,1526.97979,1768.778037,2245.297839,2876.768379,3566.868996,4129.79367,5187.17828,6167.503829,5103.744341,5994.384834,6762.379471,7072.258247,7646.123413,7272.884448,6282.673041,5977.234888,6111.817064,5952.352265,6020.750795,5733.538812,6623.50479,7247.734917,8548.010378,
娆ф床涓庝腑浜氬湴鍖?ECS,NY.GDP.PCAP.CD,638.4677112,11749.49714,12843.69967,15577.40775,18105.81526,19219.88628,20756.97262,24183.35542,26512.67649,23249.13119,23699.49514,26241.04351,25165.12693,26175.77032,26425.75248,22657.30949,22476.26688,23755.7381,25340.15366,24958.38598,24091.34169,27591.24375,27731.76954,29789.15403,
鍘勭摐澶氬皵,ECU,NY.GDP.PCAP.CD,1382.234218,1791.303597,2059.158554,2315.622152,2586.209147,2909.02606,3243.670104,3478.924888,4194.757507,4053.363311,4520.30959,5153.691642,5634.083932,6109.290315,6405.799793,5976.159681,5917.637713,6233.322448,6303.918925,6205.057595,5463.645096,6075.802657,6540.998245,6609.804082
闃挎媺浼焹鍙婂叡鍜屽浗,EGY,NY.GDP.PCAP.CD,1366.092744,1295.137418,1116.828846,1031.275563,991.2556891,1104.803407,1298.979002,1547.741707,1896.215943,2161.639646,2455.081946,2590.643849,2996.067707,3025.525636,3133.391023,3306.981594,3270.628777,2395.103333,2484.703156,2962.98892,3511.11381,3827.354154,4233.307837,3457.456916
娆ф床璐у竵鑱旂洘,EMU,NY.GDP.PCAP.CD,20039.40027,20289.82937,22049.34824,27017.62091,30816.54015,31800.44303,33671.9314,38580.6162,42222.57824,38519.97018,37555.17227,40651.69334,37558.51846,39109.1766,39926.34434,34415.61535,35178.85027,37181.1343,40068.52155,39217.384,38241.57565,42978.88179,41454.16602,45130.12405
鍘勭珛鐗归噷浜?ERI,NY.GDP.PCAP.CD,,325.4091615,304.7757565,348.9503271,426.8409479,412.7530792,447.9974047,480.4476237,490.066956,642.9257229,539.6995121,688.6816596,,,,,,,,,,,,,
瑗跨彮鐗?ESP,NY.GDP.PCAP.CD,407.9630279,15368.2338,17111.06851,21522.0171,24925.02678,26450.95301,28421.68653,32652.01559,35603.24833,32279.82085,30658.74223,31824.62191,28456.44382,29218.91052,29694.88749,25969.83831,26740.68518,28367.93926,30592.12648,29776.20115,27230.35999,30817.68286,30287.36576,33509.0128,
鐖辨矙灏间簹,EST,NY.GDP.PCAP.CD,4070.609024,4502.66615,5343.183108,7205.407033,8916.072827,10414.63812,12641.4801,16745.4308,18205.90641,14712.44942,14663.7041,17555.54552,17568.2138,19310.38749,20581.7899,17722.15577,18666.37365,20851.52235,23618.13613,24021.25014,23933.99394,27953.76702,28451.14778,30133.30445
鍩冨淇勬瘮浜?ETH,NY.GDP.PCAP.CD,75.33960907,118.4572043,109.5938136,116.8004911,133.1698125,158.2434581,189.3457375,237.146256,316.4104751,368.5747123,330.6194128,343.0249424,452.1010319,484.0398331,549.9865771,621.8456738,696.1958847,745.6324492,747.9681436,828.7089723,905.3131758,910.9478403,1011.073286,1272.016282,
娆ф床鑱旂洘,EUU,NY.GDP.PCAP.CD,16975.91504,17230.65037,18799.09543,23025.75561,26377.60338,27444.18123,29217.95385,33729.27359,37203.13725,33670.62667,33164.00485,36020.48635,33378.82742,34803.34614,35539.2021,30716.62957,31404.4306,33327.66749,36002.56405,35341.57033,34635.48959,39180.37584,37948.95054,41422.79997
鑴嗗急鍜屽彈琛濈獊褰遍熆鐨勬儏娉佷笅,FCS,NY.GDP.PCAP.CD,751.402387,718.6829537,684.3644992,702.9705229,870.4271346,1074.749889,1314.212802,1573.221083,1963.209854,1735.216052,2009.659004,2047.73072,2235.799786,2267.604041,2351.212735,1810.689302,1632.337453,1702.908452,1819.003021,1890.22007,1680.968847,1753.547754,1892.622706,1830.332718
鑺叞,FIN,NY.GDP.PCAP.CD,24335.92251,24965.203,26989.38926,32920.08572,37768.13342,39049.87038,41214.01878,48473.02401,53769.47262,47478.34953,46506.2919,51060.32426,47551.67408,49691.01452,50073.77608,42560.34568,43451.25624,46085.01747,49654.2497,48358.18078,48828.68469,53099.13514,50438.4754,52925.68976
鏂愭祹,FJI,NY.GDP.PCAP.CD,1995.720712,1944.997415,2136.567941,2655.580796,3097.190967,3377.69127,3455.105999,3762.746928,3899.922315,3164.132754,3449.144529,4139.602886,4341.403387,4572.443775,5293.356791,5097.531088,5363.790256,5826.848141,6085.419792,5950.828686,4844.42129,4696.171019,5405.030074,5888.736686
娉曞浗,FRA,NY.GDP.PCAP.CD,22340.59395,22331.79483,24144.5727,29479.52221,33644.92822,34696.37183,36431.56589,41486.19078,45464.81814,41728.08842,40694.82117,43929.78409,40863.58144,42669.17951,43148.04593,36702.43237,37024.21571,38687.16264,41418.17665,40408.28486,39169.8606,43725.09995,41082.81193,44690.93454
